code,name,population,percentage
AFG,Afghanistan,27657145,0.37%
ALB,Albania,2886026,0.039%
DZA,Algeria,40400000,0.54%
ASM,American Samoa (U.S.),57100,0.00076%
AND,Andorra,78014,0.001%
AGO,Angola,25789024,0.35%
AIA,Anguilla (UK),13452,0.00018%
ATG,Antigua and Barbuda,86295,0.0012%
ARG,Argentina,43850000,0.59%
ARM,Armenia,2993900,0.04%
ABW,Aruba (Netherlands),110108,0.0015%
AUS,Australia,24290200,0.325%
AUT,Austria,8767919,0.117%
AZE,Azerbaijan,9784600,0.13%
BHS,Bahamas,378040,0.0051%
BHR,Bahrain,1404900,0.019%
BGD,Bangladesh,161525000,2.16%
BRB,Barbados,285000,0.0038%
BLR,Belarus,9505200,0.127%
BEL,Belgium,11342835,0.15%
BLZ,Belize,380010,0.0051%
BEN,Benin,10653654,0.14%
BMU,Bermuda (UK),61954,0.00083%
BTN,Bhutan,780880,0.0105%
BOL,Bolivia,10985059,0.15%
BIH,Bosnia and Herzegovina,3531159,0.047%
BWA,Botswana,2230905,0.03%
BRA,Brazil,206771000,2.77%
BRN,Brunei,417200,0.0056%
BGR,Bulgaria,7153784,0.096%
BFA,Burkina Faso,19034397,0.25%
BDI,Burundi,10114505,0.14%
KHM,Cambodia,15626444,0.21%
CMR,Cameroon,22709892,0.3%
CAN,Canada,36379200,0.487%
CPV,Cape Verde,531239,0.0071%
CYM,Cayman Islands (UK),60413,0.00081%
CAF,Central African Republic,4998000,0.067%
TCD,Chad,14497000,0.19%
CHL,Chile,18191900,0.24%
CHN,China,1380190000,18.5%
CXR,Christmas Island (Australia),2072,0.000028%
CCK,Cocos (Keeling) Islands (Australia),550,0.0000074%
COL,Colombia,48950800,0.656%
COM,Comoros,806153,0.011%
COK,Cook Islands,18100,0.00024%
CRI,Costa Rica,4890379,0.065%
HRV,Croatia,4190669,0.056%
CUB,Cuba,11239004,0.15%
CUW,Curacao (Netherlands),158986,0.0021%
CYP,Cyprus[Note 15],847000,0.011%
CZE,Czech Republic,10564866,0.14%
COD,Democratic Republic of the Congo,85110000,1.1%
DNK,Denmark,5745526,0.077%
DJI,Djibouti,900000,0.012%
DMA,Dominica,71293,0.00095%
DOM,Dominican Republic,10075045,0.13%
ECU,Ecuador,16634200,0.223%
EGY,Egypt,92043800,1.23%
SLV,El Salvador,6520675,0.087%
GNQ,Equatorial Guinea,1222442,0.016%
ERI,Eritrea,5352000,0.072%
EST,Estonia,1315944,0.018%
ETH,Ethiopia,101853000,1.36%
FLK,Falkland Islands (UK),2563,0.000034%
FRO,Faroe Islands (Denmark),49673,0.00067%
FJI,Fiji,867000,0.0116%
FIN,Finland,5502284,0.074%
FRA,France,66842000,0%
PYF,French Polynesia (France),271800,0.0036%
GAB,Gabon,1802278,0.024%
GEO,Georgia,3720400,0.05%
DEU,Germany,82175700,1.1%
GHA,Ghana,28308301,0.38%
GIB,Gibraltar (UK),33140,0.00044%
GRC,Greece,10858018,0.15%
GRL,Greenland (Denmark),56186,0.00075%
GRD,Grenada,103328,0.0014%
GUM,Guam (U.S.),184200,0.0025%
GTM,Guatemala,16176133,0.22%
GGY,Guernsey (UK),62562,0.00084%
GIN,Guinea,12947000,0.17%
GNB,Guinea-Bissau,1547777,0.021%
GUY,Guyana,746900,0.01%
HTI,Haiti,11078033,0.15%
HND,Honduras,8721014,0.117%
HKG,Hong Kong (China),7346700,0.098%
