DATUM,ETMAALGEM.,MINI,MAXI
15-11-01,76,41,104
15-11-02,72,58,91
15-11-03,91,41,144
15-11-04,115,81,139
15-11-05,128,114,139
15-11-06,142,135,156
15-11-07,148,116,171
15-11-08,121,74,153
15-11-09,124,99,151
15-11-10,146,140,155
15-11-11,134,126,141
15-11-12,123,106,145
15-11-13,107,51,131
15-11-14,91,60,121
15-11-15,135,120,144
15-11-16,117,91,136
15-11-17,119,94,148
15-11-18,118,98,130
15-11-19,107,80,124
15-11-20,75,44,101
15-11-21,42,18,72
15-11-22,39,11,65
15-11-23,37,-11,65
15-11-24,49,38,60
15-11-25,61,45,83
15-11-26,50,22,94
15-11-27,60,44,68
15-11-28,66,53,91
15-11-29,93,66,115
15-11-30,77,53,113
15-12-01,82,40,117
15-12-02,99,86,113
15-12-03,90,82,105
15-12-04,87,77,97
15-12-05,83,74,97
15-12-06,102,78,121
15-12-07,100,88,110
15-12-08,94,75,118
15-12-09,76,64,91
15-12-10,66,57,75
15-12-11,75,62,88
15-12-12,76,49,111
15-12-13,60,24,96
15-12-14,66,51,82
15-12-15,59,23,85
15-12-16,98,66,118
15-12-17,118,112,126
15-12-18,107,96,118
15-12-19,115,94,128
15-12-20,110,103,120
15-12-21,94,76,115
15-12-22,114,80,132
15-12-23,93,64,116
15-12-24,88,68,117
15-12-25,81,34,129
15-12-26,123,107,133
15-12-27,100,86,117
15-12-28,100,84,109
15-12-29,75,59,86
15-12-30,70,55,88
15-12-31,69,50,96
16-01-01,50,3,90
16-01-02,34,21,45
16-01-03,11,-2,21
16-01-04,-18,-32,13
16-01-05,-21,-33,-12
16-01-06,-34,-42,-26
16-01-07,10,-26,65
16-01-08,55,21,83
16-01-09,42,9,62
16-01-10,57,37,73
16-01-11,42,28,58
16-01-12,53,31,76
16-01-13,41,14,71
16-01-14,24,6,53
16-01-15,20,-7,46
16-01-16,21,-5,47
16-01-17,-4,-39,32
16-01-18,-26,-43,-5
16-01-19,-5,-45,25
16-01-20,9,-38,46
16-01-21,-16,-46,0
16-01-22,0,-26,33
16-01-23,59,33,89
16-01-24,68,45,96
16-01-25,98,69,131
16-01-26,75,47,96
16-01-27,101,78,116
16-01-28,60,43,78
16-01-29,89,53,103
16-01-30,67,28,93
16-01-31,56,41,71
16-02-01,97,66,107
16-02-02,78,63,91
16-02-03,50,34,65
16-02-04,50,39,64
16-02-05,75,46,96
16-02-06,89,83,100
16-02-07,80,63,103
16-02-08,76,58,88
16-02-09,54,26,75
16-02-10,52,20,77
16-02-11,37,0,75
16-02-12,13,-7,42
16-02-13,9,-13,33
16-02-14,29,16,34
16-02-15,20,-15,54
16-02-16,8,-36,55
16-02-17,-9,-37,26
16-02-18,4,-30,19
16-02-19,25,-32,67
